,# STITCH 1,STITCH 2,Polypharmacy Side Effect,Side Effect Name
1140193,CID000003032,CID006918453,C0018801,cardiac failure
1909223,CID000003325,CID000003419,C0018824,cardiac valvulopathy
1013081,CID000002471,CID000003310,C0027947,Neutropenia
1982248,CID000004171,CID000005391,C0006118,brain neoplasm
2427896,CID000000271,CID000005650,C0018099,gout
1793923,CID000000853,CID000002099,C0013395,dyspepsia
57680,CID000002666,CID000005203,C0005779,Clotting
1647223,CID000002249,CID000004449,C0600139,Carcinoma of Prostate
2053065,CID000002162,CID000002520,C0020538,High blood pressure
270597,CID000000937,CID000003333,C0010055,coronary artery bypass graft
842815,CID000004173,CID000005645,C0004626,bacterial pneumonia
2493846,CID000003075,CID000003702,C0042963,emesis
1683274,CID000003003,CID000004409,C0006277,bronchitis
314345,CID000002088,CID000005152,C0020437,Blood Calcium Increased
1545359,CID000003348,CID000005538,C0036421,Scleroderma
2080085,CID000004159,CID000054454,C0013428,dysuria
1084490,CID000005029,CID000005391,C0009763,conjunctivitis
2081767,CID000002250,CID000004449,C0021345,infectious mononucleosis
409565,CID000002585,CID000004173,C0002170,alopecia
1543921,CID000002662,CID000003003,C0029442,osteomalacia
2247625,CID000004236,CID000004595,C0034065,Embolism pulmonary
2041966,CID000003016,CID000004614,C0040264,tinnitus
2077533,CID000003310,CID000004485,C0035357,Retroperitoneal fibrosis
735236,CID000004635,CID000130881,C0043094,weight gain
1220179,CID000002244,CID000005038,C0149514,acute bronchitis
1078564,CID000005650,CID000064147,C0151744,Cardiac ischemia
27435,CID000000444,CID000003393,C1510472,Drug addiction
1559661,CID000002909,CID000003440,C0029400,bone inflammation
1107047,CID000004171,CID000005376,C0039504,tendon injury
180325,CID000005372,CID000005645,C0151636,Extrasystoles Ventricular
155199,CID000003386,CID000005203,C0011991,diarrhea
421825,CID000005212,CID000005732,C0001824,agranulocytoses
468476,CID000003440,CID000004748,C0024117,chronic obstructive airway disease
2077221,CID000002666,CID000060147,C0009806,constipated
2024417,CID000001117,CID000005038,C0085593,chill
1731881,CID000004601,CID000004900,C0311394,difficulty in walking
882790,CID000003345,CID000005064,C0085584,encephalopathy
2549135,CID000003405,CID000004594,C0018799,cardiac disease
523595,CID000003639,CID000004691,C0030252,palpitation
416033,CID000003348,CID000005002,C0035078,kidney failure
1035751,CID000000596,CID000001117,C0740394,hyperuricaemia
1807260,CID000002153,CID000003333,C0020625,blood sodium decreased
396690,CID000001971,CID000004635,C0085649,edema extremities
949321,CID000003249,CID000004112,C0020676,hypothyroid
2518269,CID000002585,CID000004513,C0026858,musculoskeletal pain
1103771,CID000000853,CID000002803,C0085593,chill
2281752,CID000000271,CID000004829,C0018801,cardiac failure
1694017,CID000001690,CID000104741,C0027080,myoglobinuria
2383454,CID000003075,CID003085017,C0013362,dysarthria
808714,CID000005672,CID000123631,C0030807,pemphigus
2175579,CID000000214,CID000002617,C0836924,increased platelet count
